13F	0001067983	BERKSHIREHATHAWAYINC	2018-05-15
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
GOLDMAN SACHS GROUP INC	COM	38141G104	1658133		6583551	SH	DFND	4,11		6583551	0	0
JOHNSON & JOHNSON	COM	478160104	41918		327100	SH	DFND	4		327100	0	0
KRAFT HEINZ CO	COM	500754106	20283793		325634818	SH	DFND	4		325634818	0	0
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	177064		4308117	SH	DFND	4		4308117	0	0
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	320242		7791780	SH	DFND	4,8,11		7791780	0	0
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	38362		933391	SH	DFND	4,10		933391	0	0
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	75093		1827072	SH	DFND	4,11		1827072	0	0
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	292201		7153027	SH	DFND	4		7153027	0	0
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	790852		19359910	SH	DFND	4,8,11		19359910	0	0
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	20779		508654	SH	DFND	4,10		508654	0	0
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	166235		4069394	SH	DFND	4,11		4069394	0	0
M & T BK CORP	COM	55261F104	100661		546000	SH	DFND	4,8,11		546000	0	0
M & T BK CORP	COM	55261F104	30382		164795	SH	DFND	4,10		164795	0	0
M & T BK CORP	COM	55261F104	861191		4671245	SH	DFND	4,11		4671245	0	0
MASTERCARD INC	CL A	57636Q104	864372		4934756	SH	DFND	4,8,11		4934756	0	0
MONDELEZ INTL INC	CL A	609207105	24120		578000	SH	DFND	4		578000	0	0
MOSANTO CO NEW	COM	61166W101	432513		3706513	SH	DFND	4		3706513	0	0
MOSANTO CO NEW	COM	61166W101	1781112		15263621	SH	DFND	4,11		15263621	0	0
MOODYS CORP	COM	615369105	1931395		11973928	SH	DFND	4,8,11		11973928	0	0
MOODYS CORP	COM	615369105	2047841		12695850	SH	DFND	4,11		12695850	0	0
PHILLIPS 66	COM	718546104	585304		6102000	SH	DFND	4		6102000	0	0
PHILLIPS 66	COM	718546104	75009		782000	SH	DFND	1,2,4,11		782000	0	0
PHILLIPS 66	COM	718546104	500031		5213000	SH	DFND	4,5		5213000	0	0
PHILLIPS 66	COM	718546104	111555		1163000	SH	DFND	4,10		1163000	0	0
PHILLIPS 66	COM	718546104	2989241		31163892	SH	DFND	4,11		31163892	0	0
PHILLIPS 66	COM	718546104	121435		1266000	SH	DFND	4,12		1266000	0	0
PROCTER & GAMBLE CO	COM	742718109	25005		315400	SH	DFND	4		315400	0	0
RESTAURANT BRANDS INTL INC	COM	76131D103	480304		8438225	SH	DFND	4,11		8438225	0	0
SANOFI	SPONSORED ADR	80105N105	8679		216537	SH	DFND	4,8,11		216537	0	0
SANOFI	SPONSORED ADR	80105N105	20430		509742	SH	DFND	4,5,9		509742	0	0
SANOFI	SPONSORED ADR	80105N105	6786		169300	SH	DFND	4,10		169300	0	0
SANOFI	SPONSORED ADR	80105N105	112442		2805433	SH	DFND	4,11		2805433	0	0
SIRIUS XM HLDGS INC	COM	82968B103	583738		93547788	SH	DFND	4		93547788	0	0
SIRIUS XM HLDGS INC	COM	82968B103	276856		44367941	SH	DFND	4,8,11		44367941	0	0
SOUTHWEST AIRLS CO	COM	844741108	500		8722	SH	DFND	4,5,9		8722	0	0
SOUTHWEST AIRLS CO	COM	844741108	2729434		47650734	SH	DFND	4,11		47650734	0	0
STORE CAP CORP	COM	862121100	462190		18621674	SH	DFND	4,11		18621674	0	0
SYNCHRONY FINL	COM	87165B103	585534		17463000	SH	DFND	4		17463000	0	0
SYNCHRONY FINL	COM	87165B103	111990		3340000	SH	DFND	4,8,11		3340000	0	0
TEVA PHARMACEUTICAL INDS LTD	SPONSORED ADR	881624209	380851		22285000	SH	DFND	4		22285000	0	0
TEVA PHARMACEUTICAL INDS LTD	SPONSORED ADR	881624209	311973		18254710	SH	DFND	4,11		18254710	0	0
TORCHMARK CORP	COM	891027104	14687		174489	SH	DFND	2,4,11		174489	0	0
TORCHMARK CORP	COM	891027104	85171		1011888	SH	DFND	4,5		1011888	0	0
TORCHMARK CORP	COM	891027104	121148		1439325	SH	DFND	4,10		1439325	0	0
TORCHMARK CORP	COM	891027104	313788		3728025	SH	DFND	4,11		3728025	0	0
US BANCORP DEL	COM NEW	902973304	29809		590275	SH	DFND	4		590275	0	0
US BANCORP DEL	COM NEW	902973304	155035		3070000	SH	DFND	1,2,4,11		3070000	0	0
US BANCORP DEL	COM NEW	902973304	1203481		23831300	SH	DFND	4,5		23831300	0	0
US BANCORP DEL	COM NEW	902973304	59338		1175000	SH	DFND	4,6		1175000	0	0
US BANCORP DEL	COM NEW	902973304	640305		12679300	SH	DFND	4,8,11		12679300	0	0
US BANCORP DEL	COM NEW	902973304	212342		4204800	SH	DFND	4,5,9		4204800	0	0
US BANCORP DEL	COM NEW	902973304	2199378		43552046	SH	DFND	4,11		43552046	0	0
US BANCORP DEL	COM NEW	902973304	88123		1745000	SH	DFND	4,14		1745000	0	0
U S G CORP	COM NEW	903293405	567298		14035088	SH	DFND	2,4,11		14035088	0	0
U S G CORP	COM NEW	903293405	1009163		24966928	SH	DFND	4,11		24966928	0	0
UNITED CONTL HLDGS INC	COM	910047109	110553		1591379	SH	DFND	4		1591379	0	0
UNITED CONTL HLDGS INC	COM	910047109	393814		5668831	SH	DFND	4,8,11		5668831	0	0
UNITED CONTL HLDGS INC	COM	910047109	1420366		20445753	SH	DFND	4,11		20445753	0	0
UNITED PARCEL SERVICE INC	CL B	911312106	6217		59400	SH	DFND	4		59400	0	0
VERISIGN INC	COM	92343E102	598404		5047264	SH	DFND	4		5047264	0	0
VERISIGN INC	COM	92343E102	937274		7905481	SH	DFND	4,8,11		7905481	0	0
VERIZON COMMUNICATIONS INC	COM	92343V104	44		928	SH	DFND	4		928	0	0
VERISK ANALYTICS INC	CL A	92345Y106	29617		284778	SH	DFND	4,8,11		284778	0	0
VISA INC	COM CL A	92826C839	38673		323300	SH	DFND	4		323300	0	0
VISA INC	COM CL A	92826C839	1224808		10239160	SH	DFND	4,8,11		10239160	0	0
WAL MART STORES INC	COM	931142103	84166		946000	SH	DFND	4,8,11		946000	0	0
WAL MART STORES INC	COM	931142103	39815		447513	SH	DFND	4,11		447513	0	0
WELLS FARGO & CO NEW	COM	949746101	94338		1800000	SH	DFND	4		1800000	0	0
WELLS FARGO & CO NEW	COM	949746101	862145		16450000	SH	DFND	1,2,4,11		16450000	0	0
WELLS FARGO & CO NEW	COM	949746101	277956		5303500	SH	DFND	2,4,11		5303500	0	0
WELLS FARGO & CO NEW	COM	949746101	357062		6812857	SH	DFND	3,4,5		6812857	0	0
WELLS FARGO & CO NEW	COM	949746101	3923089		74853819	SH	DFND	4,5		74853819	0	0
WELLS FARGO & CO NEW	COM	949746101	42976		820000	SH	DFND	4,6		820000	0	0
WELLS FARGO & CO NEW	COM	949746101	89097		1700000	SH	DFND	4,7		1700000	0	0
WELLS FARGO & CO NEW	COM	949746101	1900135		36255200	SH	DFND	4,8,11		36255200	0	0
WELLS FARGO & CO NEW	COM	949746101	538093		10267000	SH	DFND	4,5,9		10267000	0	0
WELLS FARGO & CO NEW	COM	949746101	2923237		55776330	SH	DFND	4,10		55776330	0	0
WELLS FARGO & CO NEW	COM	949746101	12582426		240076818	SH	DFND	4,11		240076818	0	0
WELLS FARGO & CO NEW	COM	949746101	146119		2788000	SH	DFND	4,12		2788000	0	0
WELLS FARGO & CO NEW	COM	949746101	84365		1609720	SH	DFND	4,13		1609720	0	0
WELLS FARGO & CO NEW	COM	949746101	104820		2000000	SH	DFND	4,14		2000000	0	0
AXALTA COATING SYS LTD	COM	G0750C108	100352		3324000	SH	DFND	4		3324000	0	0
AXALTA COATING SYS LTD	COM	G0750C108	603800		20000000	SH	DFND	4,8,11		20000000	0	0
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	262346		8379000	SH	DFND	4		8379000	0	0
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	307696		9827408	SH	DFND	4,8,11		9827408	0	0
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	223568		7346968	SH	DFND	4,8,11		7346968	0	0
LIBERTY LATIN AMERICA LTD	COM CL A	G9001E102	21194		1089669	SH	DFND	4		1089669	0	0
LIBERTY LATIN AMERICA LTD	COM CL A	G9001E102	31610		1625185	SH	DFND	4,8,11		1625185	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	24512		1284020	SH	DFND	4,8,11		1284020	0	0
